MMC,Product_BusinessUnitDesc
010M03A1116X9000,W RTW
010M09A1101X0863,W RTW
010M27A0006X0200,W RTW
011A11A1166X4150,W RTW
011A11A1166X9000,W RTW
011B13A6014X0200,W RTW
011B48A3874X0863,W RTW
011D01A1166X5645,W RTW
011D01A1166X9000,W RTW
011D02A1166X3250,W RTW
011G05ACMIXX0863,W RTW
011G07A1166X9000,W RTW
011G12A1166X4150,W RTW
011G13A1212X0200,W RTW
011J12A1166X9000,W RTW
011J22X8801X9000,W RTW
011J50A8976X9632,W RTW
011P11A1166X9000,W RTW
011P12A3862X0863,W RTW
011P34A1166X5435,W RTW
011R33A7970X9639,W RTW
011R68A1212X4150,W RTW
011R70A1166X9000,W RTW
011V41A3062X5435,W RTW
012A09A3232X5597,W RTW
012B03A3985X5902,W RTW
012J03A3236X0835,W RTW
013L02A4006X5435,W RTW
013T03WC437X9663,W RTW
013T05TU430X0854,W RTW
014C10AM034X1705,W RTW
014E01CM514X0863,W RTW
014E20CM514X0863,W RTW
014E20TU507X0850,W RTW
014P02AM042X5800,W RTW
014S26AM028X2847,W RTW
014S52AM044X9650,W RTW
014S52WC029X0863,W RTW
014S55AM042X0820,W RTW
014S58AM304X0200,W RTW
014S59AM005X4220,W RTW
014S62TM033X5902,W RTW
014S73AM105X4235,W RTW
014S92AM032X0863,W RTW
015R30AL030X9000,W RTW
015V02WL220X8265,W RTW
017M44A2960X9000,W RTW
017V55A2960X6830,W RTW
01BB01A2102X4847,W RTW
021B18A8765X4150,W RTW
021B39A6009X4217,W RTW
021B39A7018X5840,W RTW
021E04A7722X1851,W RTW
021J12A8676X9366,W RTW
021J21A8680X9381,W RTW
021J50A7109X5830,W RTW
021L11A6724X9376,W RTW
021L35ADMIXX0200,W RTW
021P05A9718X9611,W RTW
021P38A6560X9654,W RTW
021R11A8676X9366,W RTW
021R14A1212X0200,W RTW
021R14A1212X9000,W RTW
021R26A6724X9376,W RTW
021R26ADMIXX0200,W RTW
021R33X8808X9000,W RTW
021R36X8808X9000,W RTW
021R53A7722X1851,W RTW
021R63A1166X4150,W RTW
021R63A1166X8270,W RTW
021R63A1166X9000,W RTW
021R71A8677X0845,W RTW
021R86A3836X9645,W RTW
021V26A3360X9305,W RTW
022P01A3154X9374,W RTW
022P24A3328X4220,W RTW
023T03TC443X9605,W RTW
023T05A4430X0858,W RTW
024E63AM308X9641,W RTW
024G03TM110X1660,W RTW
024S14TM014X9654,W RTW
024S26JG007X0875,W RTW
024S35TM110X8270,W RTW
027C10A2826X5882,W RTW
027C18A2961X0100,W RTW
027J19A3339X8270,W RTW
040M25A1113X1832,W RTW
040M25A1113X5871,W RTW
040M36A1116X1402,W RTW
040V23A1113X1832,W RTW
041B19A6009X9000,W RTW
041B22A1212X9000,W RTW
041B24A1212X9000,W RTW
041B27A6130X5609,W RTW
041B27A6170X0882,W RTW
041B27A6170X8882,W RTW
041B54A6740X1864,W RTW
041G03A1087X9330,W RTW
041L10X8808X5900,W RTW
041L15A2006X5640,W RTW
041P41A1184X5871,W RTW
041R05A1166X5645,W RTW
041R06A1212X4150,W RTW
041R09A8788X0200,W RTW
041R21A7631X1852,W RTW
041R37A1262X6824,W RTW
041R39A1212X3250,W RTW
041R39A1212X4150,W RTW
041V17A1087X9330,W RTW
042J04A3159X6642,W RTW
042R01A3330X5701,W RTW
043T03CP450X0800,W RTW
043T03CP451X5882,W RTW
043T03PB451X5882,W RTW
044E20BD507X0854,W RTW
044E20CA504X0150,W RTW
044E20CN504X0150,W RTW
044E20MO517X5830,W RTW
044G11AM507X9609,W RTW
044G11AM507X9656,W RTW
044G22AM115X1350,W RTW
044R01AM314X1832,W RTW
044S27AM703X9000,W RTW
044S51AM707X5882,W RTW
044S51BD713X0849,W RTW
044S51CA713X0849,W RTW
044S51CN713X0849,W RTW
044S51CN713X0858,W RTW
044S51FM713X0849,W RTW
044S51PC713X0849,W RTW
044S60AM018X0861,W RTW
044S68AM019X0200,W RTW
044S78MO504X0150,W RTW
044S97BD603X0854,W RTW
044S97PB603X0858,W RTW
044S97PC603X0849,W RTW
044T04AM507X9609,W RTW
044T16AM019X9000,W RTW
044W02AM507X9608,W RTW
046C78CF010X5460,W RTW
047C09A2860X6824,W RTW
047C10A2852X8845,W RTW
047C16A6818X1867,W RTW
047G10A3905X1320,W RTW
